country,date,population,mobile_sub,health,internetUser,gdp_per_cap,mobile_per_cap,log_gdp_per_cap,log_health,region
Ecuador,2000,12345023,482213,33,1,1291,0.039061328601817914,7.163173165439681,3.4965378640376557,The Americas
Ecuador,2010,14464739,14780730,20,29,4008,1.0218456067544668,8.296047892265667,2.995782272304033,The Americas
El Salvador,2000,5940305,743628,34,1,2211,0.1251834712190704,7.7012006331413785,3.52638993594835,The Americas
El Salvador,2010,6192993,7700336,16,16,3460,1.2433949142199903,8.14902415706907,2.7726512202867375,The Americas
Equatorial Guinea,2000,520380,5000,152,0,2410,0.009608363119259004,7.787382441422374,5.023887099772003,Africa
Equatorial Guinea,2010,700401,399290,121,6,20703,0.5700877068993334,9.938033944590888,4.795798810025401,Africa
Eritrea,2000,3667576,0,93,0,173,0.0,5.153297374827893,4.532610245783618,Africa
Eritrea,2010,5253676,185275,61,5,403,0.035265783424786756,5.998939043333182,4.110890257481564,Africa
Estonia,2000,1369515,557000,13,29,4144,0.40671332552034845,8.329417025252031,2.5650262775800314,Europe
Estonia,2010,1340161,1652809,5,74,14045,1.2332913732006825,9.550021810738057,1.6096378924367667,Europe
Ethiopia,2000,65577897,17757,141,0,125,0.00027077721019324544,4.828321737270302,4.9487669825516,Africa
Ethiopia,2010,82949541,6854000,106,1,358,0.0826285464316192,5.880535779692888,4.663448528029832,Africa
Fiji,2000,811718,55057,23,1,2075,0.06782774313246719,7.637716914592393,3.135537693244867,Oceania
Fiji,2010,860623,697920,17,15,3687,0.8109474183237028,8.212568669457324,2.833272165855592,Oceania
Finland,2000,5176209,3728625,4,37,23530,0.7203389584925957,10.066031524220344,1.3865443298750981,Europe
Finland,2010,5363352,8390000,3,87,44091,1.5643202236213472,10.69401098165516,1.09894556645823,Europe
France,2000,60910922,29052360,5,14,21775,0.47696470593566126,9.988517847644928,1.6096378924367667,Europe
France,2010,65075569,63200000,4,77,39170,0.9711786000672541,10.575666452189619,1.3865443298750981,Europe
Gabon,2000,1235274,120000,88,1,4103,0.09714443920943855,8.319473936166261,4.477348178050004,Africa
Gabon,2010,1505463,1610000,74,7,8768,1.06943843854017,9.078864123238885,4.304078606626376,Africa
Georgia,2000,4418300,194741,33,1,692,0.04407600208224883,6.539587400703331,3.4965378640376557,Asia
Georgia,2010,4452800,3980000,22,26,2614,0.8938196191160618,7.868637276739565,3.0910879068707438,Asia
Germany,2000,82211508,48202000,5,30,22946,0.5863169423920553,10.040898951939667,1.6096378924367667,Europe
Germany,2010,81776930,104560000,4,83,39852,1.278600211575563,10.59292789625759,1.3865443298750981,Europe
Ghana,2000,19165490,130045,99,0,260,0.006785373084643284,5.560685477161977,4.595129951093676,Africa
Ghana,2010,24391823,17436949,74,10,1319,0.71486862626053,7.184629910867141,4.304078606626376,Africa
Greece,2000,10917482,5932403,8,9,11396,0.5433856451515102,9.341017783367883,2.079566533867987,Europe
Greece,2010,11315508,12292716,4,45,26433,1.0863600644354632,10.182368546366337,1.3865443298750981,Europe
Grenada,2000,101522,4300,15,4,5120,0.04235535154941786,8.540909913346034,2.7081168655467533,The Americas
Grenada,2010,104487,121946,11,33,7500,1.1670925569688095,8.922658432857727,2.3979861777572986,The Americas
Guatemala,2000,11237101,856831,49,1,1717,0.07625018232015535,7.448334443308489,3.8918407060656484,The Americas
Guatemala,2010,14388929,18067970,32,11,2873,1.2556855343438,7.963112407047451,3.4657671523114555,The Americas
Guinea,2000,8344486,42112,175,0,373,0.005046685919300482,5.921581100605369,5.164791688192902,Africa
Guinea,2010,9981590,4000000,130,1,474,0.4007377582128699,6.161209431397492,4.867542142733689,Africa
Guinea-Bissau,2000,1240655,0,177,0,174,0.0,5.159061046324451,5.176155382275383,Africa
Guinea-Bissau,2010,1515224,594100,150,2,551,0.3920872425463166,6.3117366240333,5.0106419607407,Africa
Guyana,2000,733101,39830,47,7,972,0.054330849364548676,6.8793568332664945,3.85016887807946,The Americas
Guyana,2010,754493,555397,30,30,2994,0.736119486860713,8.004365898980854,3.4012307144399454,The Americas
Haiti,2000,8645371,55000,109,0,424,0.006361785977721488,6.049735813719742,4.691357056498987,The Americas
Haiti,2010,9993247,4000000,165,8,664,0.4002703025353021,6.498283655499396,5.105951534488276,The Americas
Honduras,2000,6218151,155271,37,1,1143,0.024970606213969394,7.041412538685067,3.610944939306028,The Americas
Honduras,2010,7600524,9505071,24,11,2019,1.2505810125722912,7.610358113607415,3.178095496146581,The Americas
Hungary,2000,10210971,3076279,11,7,4543,0.3012719358423406,8.421343085878243,2.3979861777572986,Europe
Hungary,2010,10000023,12011823,6,65,12863,1.2011795372870642,9.462110329821074,1.7919261220073759,Europe
Iceland,2000,281205,214896,4,44,30929,0.7641969381767749,10.339449566418411,1.3865443298750981,Europe
Iceland,2010,318041,341077,2,96,39463,1.0724309129954943,10.583118828382744,0.6936470556015963,Europe
India,2000,1053898107,3577095,86,1,450,0.003394156395424667,6.109249804984119,4.454358924092881,Asia
India,2010,1224614327,752190000,63,8,1375,0.614226032976993,7.226209737373135,4.143150599281431,Asia
Indonesia,2000,213395411,3669327,54,1,773,0.017194966765241265,6.650280342247646,3.989002564911327,Asia
Indonesia,2010,239870937,220000000,35,10,2952,0.9171598808570961,7.9902385244736935,3.5553766325098297,Asia
Iraq,2010,32030823,24000000,39,2,2532,0.7492782811106664,7.8367651782086964,3.6635872868265618,Middle East
Ireland,2000,3805174,2461000,7,18,25629,0.6467509764336664,10.151479840838027,1.9460529959950605,Europe
Ireland,2010,4474356,4701474,4,70,45873,1.0507599305911286,10.733632009475576,1.3865443298750981,Europe
Israel,2000,6289000,4400000,7,20,19859,0.6996342820798219,9.896412634219166,1.9460529959950605,Middle East
Israel,2010,7623600,9875000,5,65,28522,1.295319796421638,10.258431033357367,1.6096378924367667,Middle East
Italy,2000,56942108,42246000,6,23,19388,0.7419114164161257,9.872409648543561,1.7919261220073759,Europe
Italy,2010,60483385,90605000,4,54,33788,1.4980147027154647,10.427861018443693,1.3865443298750981,Europe
Jamaica,2000,2589389,366952,30,3,3479,0.14171374019121885,8.15450046259082,3.4012307144399454,The Americas
Jamaica,2010,2702300,3181995,24,26,5133,1.1775135995263295,8.54344575737813,3.178095496146581,The Americas
Japan,2000,126870000,66784374,5,30,37292,0.5264000472925041,10.526534132231987,1.6096378924367667,Asia
Japan,2010,127450459,120708670,3,78,43063,0.9471026699087839,10.670419461940877,1.09894556645823,Asia
Jordan,2000,4797500,388949,29,3,1764,0.08107326732673267,7.47533980346,3.367330312150578,Middle East
Jordan,2010,6047000,6620000,22,39,4370,1.0947577311063337,8.382518516922561,3.0910879068707438,Middle East
Kazakhstan,2000,14883626,197300,44,1,1229,0.013256178299562217,7.113956923235354,3.784212360932728,Asia
Kazakhstan,2010,16323287,19402600,33,33,9070,1.1886453996673587,9.112727653362759,3.4965378640376557,Asia
Kenya,2000,31253701,127404,111,0,406,0.00407644521843989,6.006355622652887,4.709539210280762,Africa
Kenya,2010,40512682,24968891,85,26,795,0.6163228344151592,6.678343372515176,4.442663021126995,Africa
Kiribati,2000,84010,300,65,2,812,0.0035710034519700036,6.699501571688013,4.17440265439268,Oceania
Kiribati,2010,99546,10000,49,9,1519,0.10045607056034396,7.325808160923404,3.8918407060656484,Oceania
Kuwait,2000,1940786,476000,13,7,19434,0.2452614559255889,9.874779439855594,2.5650262775800314,Middle East
Kuwait,2010,2736732,4400000,11,38,45437,1.607756988992711,10.724082052097277,2.3979861777572986,Middle East
Kyrgyz Republic,2000,4898400,9000,52,1,280,0.0018373346398824107,5.634793174591444,3.9512629491657494,Asia
Kyrgyz Republic,2010,5447900,5275477,38,20,880,0.9683505570953945,6.779923043835243,3.6376124751696053,Asia
Lao PDR,2000,5317060,12681,88,0,326,0.002384964623306865,5.786900448846666,4.477348178050004,Asia
Lao PDR,2010,6200894,4003395,54,7,1158,0.6456157773379129,7.054450521690426,3.989002564911327,Asia
Latvia,2000,2372985,401272,17,6,3301,0.16910009966350398,8.10198103479165,2.833272165855592,Europe
Latvia,2010,2239008,2306100,10,72,10723,1.0299650559533509,9.280146339477625,2.3026850879943788,Europe
Lebanon,2000,3742329,743000,29,8,4612,0.19853946566429623,8.436417098214598,3.367330312150578,Middle East
Lebanon,2010,4227597,2874766,22,31,9227,0.6800000094616397,9.129889355956138,3.0910879068707438,Middle East
Lesotho,2000,1963878,21600,127,0,380,0.01099864655543776,5.940173884295916,4.84419496044334,Africa
Lesotho,2010,2171318,987448,85,4,1004,0.4547689467871588,6.911748296267115,4.442663021126995,Africa
Liberia,2000,2847290,1500,169,0,186,0.0005268167274847311,5.225752050042835,5.1299046320653305,Africa
Liberia,2010,3994122,1571308,103,7,247,0.3934051088073925,5.509392385202777,4.634738696920371,Africa
Libya,2000,5231189,40000,27,0,6480,0.007646445196302408,8.776475943667297,3.295873902355512,Africa
Liechtenstein,2000,32853,10000,6,37,75606,0.3043862052171796,11.233290937324211,1.7919261220073759,Europe
Lithuania,2000,3499536,524000,12,6,3267,0.14973413618262535,8.091627717692239,2.4849899796493045,Europe
Lithuania,2010,3286820,4890979,7,63,11046,1.488058062199938,9.309823740991638,1.9460529959950605,Europe
Luxembourg,2000,436300,303274,5,23,46458,0.6951042860417144,10.746303979139597,1.6096378924367667,Europe
Luxembourg,2010,506953,727000,3,90,104512,1.4340579895966687,11.557057185898417,1.09894556645823,Europe
Madagascar,2000,15364272,63094,102,0,252,0.004106540160184615,5.529433055757518,4.624982617157782,Africa
Madagascar,2010,20713819,7711721,62,2,421,0.37229836757770257,6.042635208976472,4.127150513947278,Africa
Malawi,2000,11228756,49000,167,0,155,0.004363795953888391,5.0434315685113384,5.117999800422779,Africa
Malawi,2010,14900841,3037469,92,2,339,0.20384547422524674,5.826003057228607,4.5217994465551845,Africa
Malaysia,2000,23414909,5121748,11,21,4006,0.21873875315936525,8.295548765851294,2.3979861777572986,Asia
Malaysia,2010,28401017,33859000,6,56,8373,1.1921756182181786,9.03276764163593,1.7919261220073759,Asia
Maldives,2000,273236,7638,47,2,2285,0.02795385673922909,7.734121740964971,3.85016887807946,Asia
Maldives,2010,315885,494351,15,28,6570,1.564971429475917,8.790269263685646,2.7081168655467533,Asia
Mali,2000,11295324,10398,213,0,214,0.0009205579229068595,5.36598068790813,5.361296860534085,Africa
Mali,2010,15369809,7440383,178,3,613,0.4840907912388501,6.418366567256251,5.181789168253832,Africa
Malta,2000,381363,114444,8,14,10377,0.3000920382942236,9.247347193972239,2.079566533867987,Europe
Malta,2010,415995,455414,6,63,19625,1.094758350460943,9.884559593606022,1.7919261220073759,Europe
Marshall Islands,2000,52145,447,37,2,2127,0.008572250455460735,7.662468285345872,3.610944939306028,Oceania
Mauritania,2000,2642743,15300,116,0,490,0.005789439230375409,6.194407431918917,4.753598811758862,Africa
Mauritania,2010,3459773,2744978,111,3,1045,0.7933982952060727,6.951773121336252,4.709539210280762,Africa
Mauritius,2000,1186873,180000,19,7,3861,0.15165902333274073,8.258681755264462,2.944491609360395,Africa
Mauritius,2010,1280924,1190900,15,29,7584,0.9297194837476697,8.93379617579139,2.7081168655467533,Africa
Mexico,2000,99959594,14077880,29,5,5817,0.14083570607539683,8.668540115820665,3.367330312150578,The Americas
Mexico,2010,113423047,91362753,17,31,9133,0.8055043081323675,9.11964961618472,2.833272165855592,The Americas
Moldova,2000,3639588,139000,26,1,354,0.038191135919779934,5.869299737988541,3.2581349988203177,Europe
Moldova,2010,3562062,3165052,19,40,1632,0.888544893379172,7.397562148268962,2.944491609360395,Europe
Mongolia,2000,2411369,154600,61,1,471,0.06411295824073379,6.154860217156414,4.110890257481564,Asia
Mongolia,2010,2756001,2510470,32,13,2250,0.9109104096841765,7.718685939642811,3.4657671523114555,Asia
Montenegro,2010,631490,1170000,8,52,6510,1.8527609304977117,8.781094888812435,2.079566533867987,Europe
Morocco,2000,28793236,2342000,55,1,1272,0.08133854770613487,7.1483465300632805,4.0073513668853655,Africa
Morocco,2010,31951412,31982279,36,49,2795,1.0009660605922517,7.935587743370888,3.5835467158480925,Africa
Mozambique,2000,18200656,51065,177,0,233,0.002805668103391438,5.451042745401984,5.176155382275383,Africa
Mozambique,2010,23390765,7224176,135,4,394,0.3088473592035147,5.976353447365779,4.905282185818402,Africa
Namibia,2000,1895839,82000,74,2,2062,0.04325261797019684,7.6314321495428405,4.304078606626376,Africa
Namibia,2010,2283289,1534528,40,7,4876,0.6720691073271934,8.492080695687278,3.6889044538014413,Africa
Nepal,2000,24400606,10226,84,0,225,0.00041908795215987667,5.416104846638988,4.430828703534357,Asia
Nepal,2010,29959364,9195562,50,8,535,0.30693448632621173,6.2822686160531385,3.9120430052281487,Asia
Netherlands,2000,15925513,10755000,6,44,24180,0.6753314634197342,10.093281165525276,1.7919261220073759,Europe
Netherlands,2010,16615394,19179000,4,91,46597,1.154291014706001,10.749291461819611,1.3865443298750981,Europe
New Zealand,2000,3857800,1542000,7,47,13375,0.3997096790917103,9.50114264653056,1.9460529959950605,Oceania
New Zealand,2010,4367800,5020000,6,83,32620,1.149320023810614,10.392680906831044,1.7919261220073759,Oceania
Nicaragua,2000,5073704,90294,43,1,776,0.01779646585610828,6.6541538088421825,3.7612233712371035,The Americas
Nicaragua,2010,5788163,3770510,27,10,1139,0.6514173840646851,7.037906841409923,3.295873902355512,The Americas
Niger,2000,10922421,2056,218,0,165,0.0001882366555912833,5.105951534488276,5.384499649934531,Africa
Niger,2010,15511953,3805592,143,1,349,0.24533287330099568,5.855074787527835,4.962851623242449,Africa
Nigeria,2000,123688536,30000,186,0,372,0.0002425447092364324,5.918896542441576,5.225752050042835,Africa
Nigeria,2010,158423182,87297789,143,28,1242,0.5510417597848779,7.124479067646079,4.962851623242449,Africa
Norway,2000,4490967,3224000,5,27,37473,0.7178854798977592,10.531375979319899,1.6096378924367667,Europe
Norway,2010,4889252,5648673,3,93,85443,1.1553245772563983,11.355604777640856,1.09894556645823,Europe
Oman,2000,2264163,162000,22,4,8775,0.07154961899827883,9.079662162294174,3.0910879068707438,Middle East
Oman,2010,2782435,4606133,9,62,20791,1.6554323820682244,9.942275527841122,2.1973356822749484,Middle East
Pakistan,2010,173593383,99185844,87,17,1019,0.5713688061485616,6.926578014576513,4.4659196128413985,Asia
Panama,2000,2956126,410401,26,7,3931,0.13883068583680128,8.276649379810024,3.2581349988203177,The Americas
